+---------------------------+--------------------+----------------------+---------------------+------------------------+
|           Medida          |       Media        |       Varianza       | Desviacion estandar | Intervalo de confianza |
+---------------------------+--------------------+----------------------+---------------------+------------------------+
|     cantidadProductos     |       13.71        |  8.147373737373739   |  2.8543604778257667 |   0.4738238393190773   |
|     cantidadServicios     |       93.07        |  80.49000000000001   |  8.971621926942754  |   1.489289239872497    |
|     colaturnoLongitud     |     1.23109519     | 0.48537928904148875  |  0.6966916743018311 |  0.11565081793410396   |
|      colaATMLongitud      | 7.749159799999997  |  13.702689618996642  |  3.7017144161856463 |   0.6144845930868172   |
|   colaVentanillaLongitud  | 2.1629062499999994 |  0.8955327287100076  |  0.9463259104082523 |   0.1570901011277699   |
|    colaCubiculoLongitud   |     8.45145774     |  3.677234161020214   |  1.9176115772022795 |   0.3183235218155784   |
|     colaSelectLongitud    | 0.7564876000000001 | 0.29372779669280813  |  0.5419666010860892 |   0.0899664557802908   |
|      ATM1Utilizacion      | 0.5071636500000001 | 0.006473723584856061 | 0.08045945304845206 |  0.01335626920604304   |
|      ATM2Utilizacion      | 0.5080979800000002 | 0.007132883715898586 | 0.08445640127248251 |  0.014019762611232096  |
|      ATM3Utilizacion      | 0.5164945199999998 | 0.006630356483201618 |  0.0814270009468703 |  0.01351688215718047   |
|      ATM4Utilizacion      | 0.5168086499999999 | 0.008057816869623738 | 0.08976534336604378 |  0.014901046998763266  |
|  cantidadGenteQueTermino  |       88.87        |  67.62939393939395   |   8.22370925674017  |   1.3651357366188681   |
| cantidadRetroalimentacion |       17.91        |  19.375656565656563  |  4.401778795629848  |   0.7306952800745549   |
|      colaTurnoTimeout     |        0.12        | 0.42989898989899006  |  0.6556668284265951 |  0.10884069351881476   |
|       colaATMTimeout      |        4.28        |  39.779393939393934  |  6.307090766700122  |   1.0469770672722203   |
|   colaVentanillaTimeout   |        9.5         |  33.86868686868687   |   5.81968099372181  |   0.9660670449578204   |
|    colaCubiculosTimeout   |       15.35        |  25.744949494949495  |  5.073948117092793  |   0.8422753874374035   |
|     colaSelectTimeout     |        1.56        |  2.612525252525253   |  1.6163307992255957 |  0.26831091267144885   |
+---------------------------+--------------------+----------------------+---------------------+------------------------+
