+---------------------------+---------------------+----------------------+---------------------+------------------------+
|           Medida          |        Media        |       Varianza       | Desviacion estandar | Intervalo de confianza |
+---------------------------+---------------------+----------------------+---------------------+------------------------+
|     cantidadProductos     |        29.46        |  18.998383838383837  |  4.358713553146598  |   0.7989521942917713   |
|     cantidadServicios     |        108.25       |   70.3510101010101   |  8.387550900054801  |   1.537438079980045    |
|     colaturnoLongitud     |  1.3100792800000007 |  0.8022174845878807  |  0.8956659447516583 |  0.16417556767297897   |
|      colaATMLongitud      |  7.5048280699999985 |  12.319977162051943  |  3.509982501673184  |   0.6433797925566946   |
|   colaVentanillaLongitud  | 0.16181084000000007 | 0.026109712268580203 | 0.16158500013485225 |  0.02961853052471842   |
|    colaCubiculoLongitud   |  3.4248436499999992 |  2.494081148365786   |  1.5792660157065959 |   0.289479460679019    |
|     colaSelectLongitud    |      0.45051478     | 0.16442756097140565  |  0.4054966842915064 |  0.07432754223063312   |
|      ATM1Utilizacion      |      0.51974336     | 0.007822637939687273 | 0.08844567790280808 |  0.01621209275958472   |
|      ATM2Utilizacion      |      0.52586554     | 0.006461477195058992 | 0.08038331415821938 |  0.014734261485201613  |
|      ATM3Utilizacion      |  0.5198769900000002 | 0.008301180206151412 | 0.09111081278394685 |  0.016700611983297454  |
|      ATM4Utilizacion      |  0.5268536500000001 | 0.007342623275441919 | 0.08568910826611466 |  0.015706813545178815  |
|  cantidadGenteQueTermino  |        116.57       |   72.9950505050505   |  8.543714093124283  |   1.5660627932696811   |
| cantidadRetroalimentacion |        21.14        |  22.000404040404035  |  4.690458830477466  |   0.8597611036265195   |
|      colaTurnoTimeout     |         0.25        |  1.845959595959596   |  1.3586609569571049 |  0.24904255341023732   |
|       colaATMTimeout      |         3.34        |  29.782222222222217  |  5.457309064202083  |   1.0003247514682418   |
|   colaVentanillaTimeout   |         0.01        | 0.009999999999999998 | 0.09999999999999999 |        0.01833         |
|    colaCubiculosTimeout   |         3.89        |  11.371616161616162  |  3.372182699916504  |   0.6181210888946952   |
|     colaSelectTimeout     |         0.67        |  0.9102020202020202  |  0.9540450828980883 |  0.17487646369521959   |
+---------------------------+---------------------+----------------------+---------------------+------------------------+
